city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Caravelas,BR,2022-02-18 01:18:30,-17.7125,-39.2481,77.83,85,100,7.0
241,New Port Richey,US,2022-02-18 01:18:30,28.2442,-82.7193,75.61,81,0,3.0
242,Sur,OM,2022-02-18 01:17:22,22.5667,59.5289,69.93,62,0,6.69
243,Pandan,PH,2022-02-18 01:18:32,14.0453,124.1694,81.27,73,98,10.0
244,Comodoro Rivadavia,AR,2022-02-18 01:18:32,-45.8667,-67.5,62.46,39,0,2.3
245,Poum,NC,2022-02-18 01:18:32,-20.2333,164.0167,82.42,77,4,15.66
246,Jaque,PA,2022-02-18 01:18:33,7.5175,-78.1703,78.84,84,100,2.42
247,Den Helder,NL,2022-02-18 01:18:33,52.9599,4.7593,45.99,82,100,11.99
248,Ancud,CL,2022-02-18 01:18:33,-41.8697,-73.8203,54.43,79,0,4.32
249,Hun,LY,2022-02-18 01:18:34,29.1268,15.9477,47.21,84,1,8.79
250,Victoria,HK,2022-02-18 01:15:37,22.2855,114.1577,62.96,87,100,18.01
251,Benghazi,LY,2022-02-18 01:18:34,32.1167,20.0667,56.1,68,1,13.15
252,Derzhavinsk,KZ,2022-02-18 01:18:35,51.1,66.3167,4.08,86,49,9.69
253,Rawson,AR,2022-02-18 01:18:35,-43.3002,-65.1023,69.04,52,0,30.36
254,Barcelona,ES,2022-02-18 01:17:46,41.3888,2.159,58.44,81,0,6.91
255,Bambanglipuro,ID,2022-02-18 01:18:36,-7.95,110.2833,61.61,86,100,3.8
256,North Bend,US,2022-02-18 01:18:36,43.4065,-124.2243,53.94,91,0,16.11
257,Kindu,CD,2022-02-18 01:18:37,-2.95,25.95,67.42,88,87,1.59
258,Pfarrkirchen,DE,2022-02-18 01:18:37,48.432,12.9381,47.07,75,57,12.57
259,Pisco,PE,2022-02-18 01:16:46,-13.7,-76.2167,69.85,78,0,9.22
260,Susurluk,TR,2022-02-18 01:18:38,39.9136,28.1578,46.18,71,65,8.12
261,Vagur,FO,2022-02-18 01:18:38,61.4732,-6.8119,38.95,72,97,17.2
262,Teahupoo,PF,2022-02-18 01:18:39,-17.8333,-149.2667,73.36,74,18,14.36
263,Colquiri,BO,2022-02-18 01:18:39,-17.4167,-67.1333,40.93,86,100,6.6
264,Chanhassen,US,2022-02-18 01:18:09,44.8622,-93.5308,6.28,58,0,5.75
265,Urengoy,RU,2022-02-18 01:18:40,65.9667,78.3667,10.51,95,100,10.02
266,Bengkulu,ID,2022-02-18 01:18:40,-3.8004,102.2655,77.79,76,100,3.18
267,Campeche,MX,2022-02-18 01:18:40,19.0,-90.5,80.76,63,0,6.85
268,Fuerte Olimpo,PY,2022-02-18 01:18:41,-21.0415,-57.8738,71.17,94,100,12.03
269,Kaeo,NZ,2022-02-18 01:18:41,-35.1,173.7833,76.32,70,72,7.34
270,Vallenar,CL,2022-02-18 01:15:16,-28.5708,-70.7581,69.84,67,1,3.51
271,Kalmunai,LK,2022-02-18 01:18:42,7.4167,81.8167,74.07,84,100,7.14
272,Ormara,PK,2022-02-18 01:18:42,25.2088,64.6357,70.56,63,0,9.66
273,Kaitangata,NZ,2022-02-18 01:18:42,-46.2817,169.8464,69.93,62,0,4.56
274,Khash,IR,2022-02-18 01:18:43,28.2211,61.2158,43.63,44,0,3.58
275,Dalvik,IS,2022-02-18 01:18:43,65.9702,-18.5286,26.53,87,100,6.15
276,Batemans Bay,AU,2022-02-18 01:18:44,-35.7167,150.1833,85.98,73,71,9.73
